Albanie;Tirana
Allemagne;Berlin
Andorre;Andorre La Vieille
Autriche;Vienne
Belgique;Bruxelles
Biélorussie;Minsk
Bulgarie;Sofia
Chypre;Nicosie
Croatie;Zagreb
Danemark;Copenhague
Écosse;Edimbourg
Espagne;Madrid
Estonie;Tallinn
Finlande;Helsinki
France;Paris
Grande-Bretagne;Londres
Grèce;Athènes
Hongrie;Budapest
Irlande;Dublin
Irlande du Nord;Belfast
Islande;Reykjavik
Ile de Man;Douglas
Italie;Rome
Jersey;Saint-Hélier
Lettonie;Riga
Liechtenstein;Vaduz
Lituanie;Vilnius
Luxembourg;Luxembourg
Malte;La Valette
Moldavie;Chisinau
Monaco;Monaco
Monténégro;Podgorica
Norvège;Oslo
Pays-Bas;Amsterdam
Pologne;Varsovie
Portugal;Lisbonne
Roumanie;Bucarest
Saint-Marin;Saint-Marin
Serbie;Belgrade
Slovaquie;Bratislava
Slovénie;Ljubljana
Suède;Stockholm
Suisse;Berne
République tchèque;Prague
Vatican;Cité du Vatican
